Customer ID,InvoiceDate,Invoice,Quantity,Price
,2024-03-01 10:00:00,B0,-1,0.0
20001.0,2024-03-01 10:00:00,B1,2,12.0
20002.0,2024-03-01 10:00:00,B2,2,12.0
20003.0,2024-03-01 10:00:00,B3,2,12.0
20004.0,2024-03-01 10:00:00,B4,2,12.0
,2024-03-01 10:00:00,B5,2,12.0
20006.0,2024-03-01 10:00:00,B6,2,12.0
20007.0,2024-03-01 10:00:00,B7,2,12.0
20008.0,2024-03-01 10:00:00,B8,2,12.0
20009.0,2024-03-01 10:00:00,B9,2,12.0
,2024-03-01 10:00:00,B10,2,12.0
20011.0,2024-03-01 10:00:00,B11,2,12.0
20012.0,2024-03-01 10:00:00,B12,2,12.0
20013.0,2024-03-01 10:00:00,B13,2,12.0
20014.0,2024-03-01 10:00:00,B14,2,12.0
,2024-03-01 10:00:00,B15,2,12.0
20001.0,2024-03-01 10:00:00,B16,2,12.0
20002.0,2024-03-01 10:00:00,B17,-1,12.0
20003.0,2024-03-01 10:00:00,B18,2,12.0
20004.0,2024-03-01 10:00:00,B19,0,12.0
,2024-03-01 10:00:00,B20,2,12.0
20006.0,2024-03-01 10:00:00,B21,2,12.0
20007.0,2024-03-01 10:00:00,B22,2,12.0
20008.0,2024-03-01 10:00:00,B23,2,0.0
20009.0,2024-03-01 10:00:00,B24,2,12.0
,2024-03-01 10:00:00,B25,2,12.0
20011.0,2024-03-01 10:00:00,B26,2,12.0
20012.0,2024-03-01 10:00:00,B27,2,12.0
20013.0,2024-03-01 10:00:00,B28,2,12.0
20014.0,2024-03-01 10:00:00,B29,2,12.0
,2024-03-01 10:00:00,B30,2,12.0
20001.0,2024-03-01 10:00:00,B31,2,12.0
20002.0,2024-03-01 10:00:00,B32,2,12.0
20003.0,2024-03-01 10:00:00,B33,2,12.0
20004.0,2024-03-01 10:00:00,B34,-1,12.0
,2024-03-01 10:00:00,B35,2,12.0
20006.0,2024-03-01 10:00:00,B36,2,12.0
20007.0,2024-03-01 10:00:00,B37,2,12.0
20008.0,2024-03-01 10:00:00,B38,0,12.0
20009.0,2024-03-01 10:00:00,B39,2,12.0
,2024-03-01 10:00:00,B40,2,12.0
20011.0,2024-03-01 10:00:00,B41,2,12.0
20012.0,2024-03-01 10:00:00,B42,2,12.0
20013.0,2024-03-01 10:00:00,B43,2,12.0
20014.0,2024-03-01 10:00:00,B44,2,12.0
,2024-03-01 10:00:00,B45,2,12.0
20001.0,2024-03-01 10:00:00,B46,2,0.0
20002.0,2024-03-01 10:00:00,B47,2,12.0
20003.0,2024-03-01 10:00:00,B48,2,12.0
20004.0,2024-03-01 10:00:00,B49,2,12.0
,2024-03-01 10:00:00,B50,2,12.0
20006.0,2024-03-01 10:00:00,B51,-1,12.0
20007.0,2024-03-01 10:00:00,B52,2,12.0
20008.0,2024-03-01 10:00:00,B53,2,12.0
20009.0,2024-03-01 10:00:00,B54,2,12.0
