Customer ID,InvoiceDate,Invoice,Quantity,Price
10001,2024-01-02 00:00:00,INV-10001-0,1,10.0
10001,2024-01-13 00:00:00,INV-10001-1,2,10.5
10001,2024-01-24 00:00:00,INV-10001-2,3,11.0
10001,2024-02-04 00:00:00,INV-10001-3,1,11.5
10001,2024-02-15 00:00:00,INV-10001-4,2,12.0
10001,2024-02-26 00:00:00,INV-10001-5,3,12.5
10002,2024-01-03 00:00:00,INV-10002-0,1,10.0
10002,2024-01-14 00:00:00,INV-10002-1,2,10.5
10002,2024-01-25 00:00:00,INV-10002-2,3,11.0
10002,2024-02-05 00:00:00,INV-10002-3,1,11.5
10002,2024-02-16 00:00:00,INV-10002-4,2,12.0
10002,2024-02-27 00:00:00,INV-10002-5,3,12.5
10003,2024-01-04 00:00:00,INV-10003-0,1,10.0
10003,2024-01-15 00:00:00,INV-10003-1,2,10.5
10003,2024-01-26 00:00:00,INV-10003-2,3,11.0
10003,2024-02-06 00:00:00,INV-10003-3,1,11.5
10003,2024-02-17 00:00:00,INV-10003-4,2,12.0
10003,2024-02-28 00:00:00,INV-10003-5,3,12.5
10004,2024-01-05 00:00:00,INV-10004-0,1,10.0
10004,2024-01-16 00:00:00,INV-10004-1,2,10.5
10004,2024-01-27 00:00:00,INV-10004-2,3,11.0
10004,2024-02-07 00:00:00,INV-10004-3,1,11.5
10004,2024-02-18 00:00:00,INV-10004-4,2,12.0
10004,2024-02-29 00:00:00,INV-10004-5,3,12.5
10005,2024-01-01 00:00:00,INV-10005-0,1,10.0
10005,2024-01-12 00:00:00,INV-10005-1,2,10.5
10005,2024-01-23 00:00:00,INV-10005-2,3,11.0
10005,2024-02-03 00:00:00,INV-10005-3,1,11.5
10005,2024-02-14 00:00:00,INV-10005-4,2,12.0
10005,2024-02-25 00:00:00,INV-10005-5,3,12.5
10006,2024-01-02 00:00:00,INV-10006-0,1,10.0
10006,2024-01-13 00:00:00,INV-10006-1,2,10.5
10006,2024-01-24 00:00:00,INV-10006-2,3,11.0
10006,2024-02-04 00:00:00,INV-10006-3,1,11.5
10006,2024-02-15 00:00:00,INV-10006-4,2,12.0
10006,2024-02-26 00:00:00,INV-10006-5,3,12.5
10007,2024-01-03 00:00:00,INV-10007-0,1,10.0
10007,2024-01-14 00:00:00,INV-10007-1,2,10.5
10007,2024-01-25 00:00:00,INV-10007-2,3,11.0
10007,2024-02-05 00:00:00,INV-10007-3,1,11.5
10007,2024-02-16 00:00:00,INV-10007-4,2,12.0
10007,2024-02-27 00:00:00,INV-10007-5,3,12.5
10008,2024-01-04 00:00:00,INV-10008-0,1,10.0
10008,2024-01-15 00:00:00,INV-10008-1,2,10.5
10008,2024-01-26 00:00:00,INV-10008-2,3,11.0
10008,2024-02-06 00:00:00,INV-10008-3,1,11.5
10008,2024-02-17 00:00:00,INV-10008-4,2,12.0
10008,2024-02-28 00:00:00,INV-10008-5,3,12.5
10009,2024-01-05 00:00:00,INV-10009-0,1,10.0
10009,2024-01-16 00:00:00,INV-10009-1,2,10.5
10009,2024-01-27 00:00:00,INV-10009-2,3,11.0
10009,2024-02-07 00:00:00,INV-10009-3,1,11.5
10009,2024-02-18 00:00:00,INV-10009-4,2,12.0
10009,2024-02-29 00:00:00,INV-10009-5,3,12.5
10010,2024-01-01 00:00:00,INV-10010-0,1,10.0
10010,2024-01-12 00:00:00,INV-10010-1,2,10.5
10010,2024-01-23 00:00:00,INV-10010-2,3,11.0
10010,2024-02-03 00:00:00,INV-10010-3,1,11.5
10010,2024-02-14 00:00:00,INV-10010-4,2,12.0
10010,2024-02-25 00:00:00,INV-10010-5,3,12.5
10011,2024-01-02 00:00:00,INV-10011-0,1,10.0
10011,2024-01-13 00:00:00,INV-10011-1,2,10.5
10011,2024-01-24 00:00:00,INV-10011-2,3,11.0
10011,2024-02-04 00:00:00,INV-10011-3,1,11.5
